Site,Plot,SpeciesID,Stems,SaplingDBH,SaplingAlive
CACR1,14,24,14,,
CACR1,14,90,6,,
CACR1,14,29,8,,
CACR1,15,28,1,,
CACR1,15,90,7,,
CACR1,15,25,8,,
CACR1,16,23,1,,
CACR1,16,90,5,,
CACR1,16,103,5,,
CACR1,16,24,7,,
CACR1,17,26,3,,
CACR1,17,24,11,,
CACR1,17,90,22,,
CACR1,17,103,12,,
CACR1,18,103,48,,
CACR1,18,90,13,,
CACR1,18,24,3,,
CACR1,19,121,1,15.5,1
CACR1,19,26,2,,
CACR1,19,25,4,,
CACR1,19,103,4,,
CACR1,19,90,10,,
CACR1,19,24,8,,
CACR1,19,28,2,,
CACR1,19,29,6,,
CACR1,20,103,7,,
CACR1,20,25,3,,
CACR1,20,90,9,,
CACR1,21,90,2,,
CACR1,21,24,10,,
CACR1,21,103,11,,
CACR1,21,29,9,,
CACR1,21,28,6,,
CACR1,22,90,8,,
CACR1,22,24,5,,
CACR1,22,25,5,,
CACR1,22,29,1,,
CACR1,22,28,8,,
CACR1,23,26,5,,
CACR1,23,24,9,,
CACR1,23,103,2,,
CACR1,23,28,1,,
CACR1,24,90,5,,
CACR1,24,24,6,,
CACR1,24,103,11,,
CACR1,24,29,14,,
CACR1,24,28,4,,
CACR1,25,26,16,,
CACR1,25,24,2,,
CACR1,25,103,3,,
CACR2,1,121,1,,
CACR2,1,90,4,,
CACR2,2,,,,
CACR2,3,90,10,,
CACR2,4,90,7,,
CACR2,4,103,8,,
CACR2,5,26,3,,
CACR2,5,90,1,,
CACR2,5,103,3,,
CACR2,6,26,2,,
CACR2,6,90,6,,
CACR2,7,,,,
CACR2,8,26,3,,
CACR2,8,90,12,,
CACR2,8,103,4,,
CACR2,9,121,3,,
CACR2,9,23,2,,
CACR2,9,90,6,,
CACR2,10,121,1,,
CACR2,10,26,1,,
CACR2,10,90,17,,
CACR2,11,121,1,,
CACR2,11,23,1,,
CACR2,11,90,19,,
CACR2,12,121,1,,
CACR2,12,23,2,,
CACR2,12,103,2,,
CACR2,12,90,27,,
CACR2,13,121,3,,
CACR2,13,23,2,,
CACR2,13,90,16,,
CACR2,14,23,1,,
CACR2,14,26,4,,
CACR2,14,24,10,,
CACR2,14,90,5,,
CACR2,15,24,1,,
CACR2,15,103,18,,
CACR2,15,90,9,,
CACR2,16,103,23,,
CACR2,16,90,15,,
CACR2,16,28,2,,
CACR2,17,90,17,,
CACR2,17,26,4,,
CACR2,17,103,17,,
CACR2,18,121,1,,
CACR2,18,23,1,,
CACR2,18,103,14,,
CACR2,18,90,17,,
CACR2,19,121,4,,
CACR2,19,23,7,,
CACR2,20,121,2,,
CACR2,20,23,3,,
CACR2,20,90,27,,
CACR2,20,26,1,,
CACR2,21,25,3,,
CACR2,21,103,6,,
CACR2,21,28,1,,
CACR2,21,90,29,,
CACR2,21,24,4,,
CACR2,21,26,2,,
CACR2,22,121,1,,
CACR2,22,23,1,,
CACR2,22,26,5,,
CACR2,22,90,36,,
CACR2,22,103,7,,
CACR2,23,121,1,,
CACR2,23,90,3,,
CACR2,24,103,7,,
CACR2,24,90,12,,
CACR2,25,26,17,,
CACR2,25,90,24,,
CACR2,25,90,9,,
CACR3,1,28,1,,
CACR3,1,90,34,,
CACR3,2,90,44,,
CACR3,3,23,2,,
CACR3,3,90,49,,
CACR3,3,103,3,,
CACR3,4,23,1,,
CACR3,4,90,11,,
CACR3,5,23,6,,
CACR3,5,90,34,,
CACR3,6,121,1,,
CACR3,6,23,4,,
CACR3,6,90,22,,
CACR3,6,103,4,,
CACR3,7,,,,
CACR3,7,23,6,,
CACR3,7,90,46,,
CACR3,8,121,1,,
CACR3,8,23,4,,
CACR3,8,90,13,,
CACR3,9,23,4,,
CACR3,9,109,3,,
CACR3,9,90,34,,
CACR3,10,121,1,9.5,1
CACR3,10,23,1,,
CACR3,10,90,25,,
CACR3,11,90,13,,
CACR3,11,28,1,,
CACR3,12,23,1,,
CACR3,12,90,31,,
CACR3,13,23,7,,
CACR3,13,90,27,,
CACR3,14,121,1,,
CACR3,14,23,1,,
CACR3,14,28,9,,
CACR3,14,90,46,,
CACR3,15,121,1,,
CACR3,15,23,10,,
CACR3,15,90,48,,
CACR3,16,23,1,,
CACR3,16,145,30,,
CACR3,16,90,27,,
CACR3,17,121,3,,
CACR3,17,23,7,,
CACR3,17,25,2,,
CACR3,17,90,31,,
CACR3,17,145,13,,
CACR3,18,121,1,,
CACR3,18,23,6,,
CACR3,18,90,21,,
CACR3,19,23,4,,
CACR3,19,145,23,,
CACR3,19,90,18,,
CACR3,19,28,2,,
CACR3,20,23,2,,
CACR3,20,90,20,,
CACR3,21,145,80,,
CACR3,21,90,6,,
CACR3,21,28,1,,
CACR3,22,145,29,,
CACR3,22,90,25,,
CACR3,22,109,5,,
CACR3,23,23,2,,
CACR3,23,90,16,,
CACR3,24,23,4,,
CACR3,24,144,5,,
CACR3,24,90,37,,
CACR3,25,23,5,,
CACR3,25,90,27,,
WEWO,1,26,21,,
WEWO,1,28,12,,
WEWO,2,23,1,,
WEWO,2,26,34,,
WEWO,2,28,2,,
WEWO,3,26,19,,
WEWO,3,90,2,,
WEWO,4,26,58,,
WEWO,4,28,4,,
WEWO,5,26,42,,
WEWO,5,28,2,,
WEWO,6,26,39,,
WEWO,6,28,1,,
WEWO,7,26,38,,
WEWO,7,28,2,,
WEWO,8,26,42,,
WEWO,8,90,3,,
WEWO,9,26,36,,
WEWO,9,28,2,,
WEWO,10,23,1,,
WEWO,10,26,30,,
WEWO,10,28,3,,
WEWO,11,26,8,,
WEWO,12,26,24,,
WEWO,12,28,2,,
WEWO,13,26,30,,
WEWO,14,26,32,,
WEWO,14,28,8,,
WEWO,15,26,10,,
WEWO,15,28,1,,
WEWO,16,26,15,,
WEWO,17,26,15,,
WEWO,17,28,8,,
WEWO,18,26,11,,
WEWO,18,29,14,,
WEWO,18,28,2,,
WEWO,19,26,16,,
WEWO,19,25,3,,
WEWO,19,28,5,,
WEWO,20,26,16,,
WEWO,20,28,2,,
WEWO,21,26,20,,
WEWO,21,28,14,,
WEWO,22,26,7,,
WEWO,22,28,17,,
WEWO,22,103,3,,
WEWO,23,26,12,,
WEWO,23,29,3,,
WEWO,24,26,3,,
WEWO,24,29,5,,
WEWO,25,26,15,,
WEWO,25,28,1,,
BLSF1,1,28,4,,
BLSF1,2,23,1,,
BLSF1,3,23,8,,
BLSF1,4,28,1,,
BLSF1,5,23,7,,
BLSF1,6,23,16,,
BLSF1,6,28,3,,
BLSF1,7,23,4,,
BLSF1,7,28,15,,
BLSF1,8,23,12,,
BLSF1,9,121,2,,
BLSF1,9,23,2,,
BLSF1,10,121,1,,
BLSF1,10,23,1,,
BLSF1,11,,,,
BLSF1,12,23,1,,
BLSF1,13,23,6,,
BLSF1,14,23,5,,
BLSF1,14,28,3,,
BLSF1,15,121,2,,
BLSF1,15,23,23,,
BLSF1,15,28,3,,
BLSF1,16,121,6,,
BLSF1,16,28,2,,
BLSF1,17,121,1,,
BLSF1,17,23,6,,
BLSF1,18,121,1,,
BLSF1,18,23,7,,
BLSF1,18,28,6,,
BLSF1,19,121,1,5,1
BLSF1,19,23,7,,
BLSF1,20,,,,
BLSF1,21,,,,
BLSF1,22,23,1,,
BLSF1,22,28,1,,
BLSF1,23,121,1,,
BLSF1,23,23,8,,
BLSF1,23,28,4,,
BLSF1,24,121,1,,
BLSF1,24,23,14,,
BLSF1,24,28,2,,
BLSF1,25,23,7,,
BLSF2,1,88,1,,
BLSF2,1,28,3,,
BLSF2,2,121,1,,
BLSF2,2,88,1,,
BLSF2,3,28,3,,
BLSF2,4,28,4,,
BLSF2,4,25,4,,
BLSF2,4,146,1,,
BLSF2,5,23,1,,
BLSF2,5,25,1,,
BLSF2,6,25,3,,
BLSF2,6,29,3,,
BLSF2,7,,,,
BLSF2,8,,,,
BLSF2,9,,,,
BLSF2,10,28,1,,
BLSF2,10,29,1,,
BLSF2,10,88,1,,
BLSF2,11,23,1,,
BLSF2,11,88,2,,
BLSF2,11,28,2,,
BLSF2,11,146,5,,
BLSF2,12,23,1,,
BLSF2,12,28,5,,
BLSF2,13,28,1,,
BLSF2,14,23,1,,
BLSF2,15,,,,
BLSF2,16,,,,
BLSF2,17,28,1,,
BLSF2,18,28,1,,
BLSF2,19,23,1,,
BLSF2,19,28,4,,
BLSF2,19,147,1,,
BLSF2,20,146,1,,
BLSF2,20,88,3,,
BLSF2,20,28,1,,
BLSF2,21,88,2,,
BLSF2,21,23,1,,
BLSF2,22,88,2,,
BLSF2,23,23,2,,
BLSF2,23,88,2,,
BLSF2,23,28,2,,
BLSF2,24,28,4,,
BLSF2,25,,,,
CNF1,1,,,,
CNF1,2,121,3,,
CNF1,2,23,1,,
CNF1,3,121,1,,
CNF1,4,,,,
CNF1,5,,,,
CNF1,6,121,1,,
CNF1,6,23,1,,
CNF1,7,121,3,,
CNF1,7,23,2,,
CNF1,7,27,4,,
CNF1,8,121,1,,
CNF1,8,23,1,,
CNF1,8,146,17,,
CNF1,9,121,1,,
CNF1,9,146,30,,
CNF1,10,146,12,,
CNF1,11,121,1,,
CNF1,12,121,6,,
CNF1,13,,,,
CNF1,14,121,2,,
CNF1,14,27,7,,
CNF1,15,121,1,,
CNF1,15,27,4,,
CNF1,16,121,1,,
CNF1,16,23,1,,
CNF1,16,146,8,,
CNF1,17,121,2,,
CNF1,17,27,5,,
CNF1,18,121,1,,
CNF1,19,121,5,,
CNF1,19,23,2,,
CNF1,19,140,3,,
CNF1,19,27,6,,
CNF1,20,121,15,,
CNF1,20,23,1,,
CNF1,21,121,1,,
CNF1,21,23,1,,
CNF1,22,121,2,,
CNF1,22,23,3,,
CNF1,23,121,3,,
CNF1,23,23,2,,
CNF1,24,23,2,,
CNF1,25,,,,
CNF2,1,26,7,,
CNF2,2,26,9,,
CNF2,3,26,28,,
CNF2,4,26,24,,
CNF2,5,26,32,,
CNF2,6,26,8,,
CNF2,7,26,28,,
CNF2,7,27,2,,
CNF2,8,26,67,,
CNF2,9,26,25,,
CNF2,10,26,6,,
CNF2,11,26,3,,
CNF2,12,26,20,,
CNF2,13,26,5,,
CNF2,14,26,18,,
CNF2,15,26,10,,
CNF2,16,26,28,,
CNF2,17,26,5,,
CNF2,18,26,5,,
CNF2,19,26,6,,
CNF2,20,26,6,,
CNF2,21,26,4,,
CNF2,21,27,1,,
CNF2,22,26,14,,
CNF2,22,27,6,,
CNF2,23,26,8,,
CNF2,24,26,6,,
CNF2,25,26,5,,
CNF3,1,90,5,,
CNF3,2,90,4,,
CNF3,2,28,3,,
CNF3,3,121,4,,
CNF3,3,23,1,,
CNF3,3,90,13,,
CNF3,3,146,3,,
CNF3,3,103,8,,
CNF3,3,28,1,,
CNF3,4,121,6,,
CNF3,4,90,17,,
CNF3,4,103,49,,
CNF3,5,121,7,,
CNF3,5,90,13,,
CNF3,5,103,10,,
CNF3,6,121,2,,
CNF3,6,90,4,,
CNF3,6,28,3,,
CNF3,6,27,3,,
CNF3,7,28,3,,
CNF3,7,90,2,,
CNF3,8,140,8,,
CNF3,8,28,4,,
CNF3,9,121,3,,
CNF3,9,28,4,,
CNF3,9,90,5,,
CNF3,9,27,1,,
CNF3,10,90,3,,
CNF3,10,28,5,,
CNF3,11,121,2,,
CNF3,11,28,3,,
CNF3,11,90,3,,
CNF3,12,121,4,,
CNF3,12,28,4,,
CNF3,13,121,3,,
CNF3,13,23,2,,
CNF3,13,90,3,,
CNF3,13,28,4,,
CNF3,13,147,4,,
CNF3,14,90,2,,
CNF3,14,28,3,,
CNF3,15,90,4,,
CNF3,15,28,4,,
CNF3,16,121,3,,
CNF3,16,23,4,,
CNF3,16,90,1,,
CNF3,16,109,7,,
CNF3,16,28,2,,
CNF3,17,121,7,,
CNF3,17,109,11,,
CNF3,18,121,2,,
CNF3,18,109,1,,
CNF3,18,28,3,,
CNF3,18,90,1,,
CNF3,19,23,1,,
CNF3,19,90,3,,
CNF3,19,28,1,,
CNF3,20,109,2,,
CNF3,20,27,4,,
CNF3,20,28,7,,
CNF3,20,23,1,,
CNF3,21,23,1,,
CNF3,21,109,6,,
CNF3,21,121,4,,
CNF3,22,121,4,,
CNF3,22,23,2,,
CNF3,22,90,11,,
CNF3,22,28,1,,
CNF3,23,27,5,,
CNF3,23,109,5,,
CNF3,23,121,11,,
CNF3,23,23,1,,
CNF3,23,90,2,,
CNF3,23,28,2,,
CNF3,24,23,1,,
CNF3,24,121,6,,
CNF3,24,109,1,,
CNF3,24,28,1,,
CNF3,25,121,2,,
CNF3,25,109,8,,
CNF3,25,90,2,,
CNF3,25,28,2,,
HSG1,1,,,,
HSG1,2,,,,
HSG1,3,,,,
HSG1,4,,,,
HSG1,5,,,,
HSG1,6,,,,
HSG1,7,,,,
HSG1,8,,,,
HSG1,9,121,1,,
HSG1,10,,,,
HSG1,11,,,,
HSG1,12,,,,
HSG1,13,,,,
HSG1,14,,,,
HSG1,15,121,1,,
HSG1,16,,,,
HSG1,17,121,1,,
HSG1,18,121,1,,
HSG1,18,23,1,,
HSG1,19,121,1,,0
HSG1,20,121,1,,
HSG1,21,121,4,,
HSG1,21,121,1,,0
HSG1,22,121,4,,
HSG1,23,121,4,,0
HSG1,23,121,3,,
HSG1,23,23,1,,
HSG1,24,,,,
HSG1,25,,,,
HSG2,1,121,1,,
HSG2,2,,,,
HSG2,3,,,,
HSG2,4,,,,
HSG2,5,146,3,,
HSG2,6,,,,
HSG2,7,,,,
HSG2,8,,,,
HSG2,9,,,,
HSG2,10,121,1,,
HSG2,11,88,9,,
HSG2,12,88,3,,
HSG2,13,,,,
HSG2,14,,,,
HSG2,15,88,8,,
HSG2,15,146,3,,
HSG2,16,,,,
HSG2,17,,,,
HSG2,18,,,,
HSG2,19,,,,
HSG2,20,88,5,,
HSG2,21,121,1,,
HSG2,22,,,,
HSG2,23,,,,
HSG2,24,,,,
HSG2,25,,,,
