Site,Plot,OpenSkyrep1,Openskyrep2,Lightrep1ab,Lightrep1be,Lightrep2ab,Lightrep2be,Lightrep3ab,Lightrep3be,ANPPgrass,ANPPwoody,ANPPforb,ANPPpyd,ANPPpine,TreeNum,FRI,FRIRatio,TimeSinceLastBurn,Season ,Region,GSavglowtemp,GSavghightemp,GSprecip ,Elevation,USEcoregions4
SG2,11,1812,1997,1554,1140,1797,1161,1853,1262,7.78,3.12,,6.05,29.12,0,2,0.42857142,1,1,Sandhills,15.63,27.94,732.79,120.4,SandHills
SG2,12,1812,1997,1812,1024,1845,1082,1866,1088,5.7,1.21,4.45,5.82,19.96,0,2,0.42857142,1,1,Sandhills,15.63,27.94,732.79,120.4,SandHills
SG2,13,1812,1997,1142,487,318,258,1872,1156,11.95,3.78,0.95,5.21,29.57,0,2,0.42857142,1,1,Sandhills,15.63,27.94,732.79,120.4,SandHills
SG2,14,1812,1997,774,216,1787,586,1627,1130,4.26,,4.62,3.4,21.67,0,2,0.42857142,1,1,Sandhills,15.63,27.94,732.79,120.4,SandHills
SG2,15,1812,1997,1675,680,1855,1067,1900,1602,9.82,,3.86,4.87,11.29,0,2,0.42857142,1,1,Sandhills,15.63,27.94,732.79,120.4,SandHills
SG2,16,1812,1997,502,147,305,144,675,282,8.91,1.7,0.74,4.28,13.84,0,2,0.42857142,1,1,Sandhills,15.63,27.94,732.79,120.4,SandHills
SG2,17,1812,1997,450,80,222,133,681,308,7.81,,3.05,5.31,18.08,0,2,0.42857142,1,1,Sandhills,15.63,27.94,732.79,120.4,SandHills
SG2,18,1812,1997,384,121,773,684,715,414,11.57,1.03,2.26,7.42,18.83,1,2,0.42857142,1,1,Sandhills,15.63,27.94,732.79,120.4,SandHills
SG2,19,1812,1997,1851,1321,1827,792,1822,680,9.9,2.46,,7.73,35.14,1,2,0.42857142,1,1,Sandhills,15.63,27.94,732.79,120.4,SandHills
SG2,20,1812,1997,207,128,547,258,869,279,4.5,4.11,,8.47,39.66,0,2,0.42857142,1,1,Sandhills,15.63,27.94,732.79,120.4,SandHills
SG2,21,1812,1997,657,269,909,319,791,470,21.88,,,11.88,13.14,0,2,0.42857142,1,1,Sandhills,15.63,27.94,732.79,120.4,SandHills
SG2,22,1812,1997,544,237,1073,353,302,221,12.06,,,13.41,23.5,0,2,0.42857142,1,1,Sandhills,15.63,27.94,732.79,120.4,SandHills
SG2,23,1812,1997,1187,428,1854,461,1122,965,,,4.05,4.54,48.7,0,2,0.42857142,1,1,Sandhills,15.63,27.94,732.79,120.4,SandHills
SG2,24,1812,1997,815,551,1205,1128,1855,699,8.73,1.31,1.43,6.22,35.24,0,2,0.42857142,1,1,Sandhills,15.63,27.94,732.79,120.4,SandHills
SG2,25,1812,1997,1826,776,1892,490,1314,611,9.26,4.27,,8.18,11.34,1,2,0.42857142,1,1,Sandhills,15.63,27.94,732.79,120.4,SandHills
SG3,1,2020,1846,1793,1243,1863,1615,1809,772,3.09,,,1.73,7.54,0,2,0.5,1,1,Sandhills,15.63,27.94,732.79,126.23,SandHills
SG3,2,2020,1846,1823,1332,1862,1019,1871,1642,16.12,1.55,,8.48,6.4,0,2,0.5,1,1,Sandhills,15.63,27.94,732.79,126.23,SandHills
SG3,3,2020,1846,1822,1606,1888,1883,1815,948,2,,,0.51,19.66,0,2,0.5,1,1,Sandhills,15.63,27.94,732.79,126.23,SandHills
SG3,4,2020,1846,1829,1559,1847,1197,1580,1687,4.24,,,0.56,31.16,0,2,0.5,1,1,Sandhills,15.63,27.94,732.79,126.23,SandHills
SG3,5,2020,1846,681,435,599,235,1840,1072,7.34,,,1.68,31.19,0,2,0.5,1,1,Sandhills,15.63,27.94,732.79,126.23,SandHills
SG3,6,2020,1846,1867,1317,1859,1349,1826,1462,16.3,,,3.04,20.79,0,2,0.5,1,1,Sandhills,15.63,27.94,732.79,126.23,SandHills
SG3,7,2020,1846,1886,1279,1848,1090,1887,1268,0.81,2.17,4.25,1.16,19.3,0,2,0.5,1,1,Sandhills,15.63,27.94,732.79,126.23,SandHills
SG3,8,2020,1846,1918,992,1859,1714,1845,749,15.29,2.49,,4.65,13.18,0,2,0.5,1,1,Sandhills,15.63,27.94,732.79,126.23,SandHills
SG3,9,2020,1846,1903,734,1867,783,1852,1200,9.93,7.49,,3.26,8.88,0,2,0.5,1,1,Sandhills,15.63,27.94,732.79,126.23,SandHills
SG3,10,2020,1846,1837,1402,1847,889,1045,361,11.64,1.5,,6.13,5.5,0,2,0.5,1,1,Sandhills,15.63,27.94,732.79,126.23,SandHills
SG3,11,2020,1846,695,438,321,209,332,106,10.07,,,1.7,11.7,0,2,0.5,1,1,Sandhills,15.63,27.94,732.79,126.23,SandHills
SG3,12,2020,1846,1817,683,1876,1453,1868,1175,24.18,,,3.53,4.44,0,2,0.5,1,1,Sandhills,15.63,27.94,732.79,126.23,SandHills
